organization_name,domain,sector,spf_status,spf_record,spf_qualifier,spf_qualifier_score,spf_lookup_count,spf_lookup_exceeds_limit,dmarc_status,dmarc_record,dmarc_policy,dmarc_policy_score,dmarc_subdomain_policy,dmarc_pct,dmarc_reporting_configured,dmarc_forensic_reporting_configured,dmarc_alignment_spf,dmarc_alignment_dkim
University of Galway,universityofgalway.ie,Education,found,v=spf1 ip4:95.172.90.143 ip4:95.172.90.156 ip4:206.132.28.57 ip4:92.52.102.162 ip4:206.132.28.20 ip4:140.203.150.74 ip4:140.203.202.74 include:spf.protection.outlook.com ip4:82.195.135.109 ip4:147.197.215.112 ip4:80.93.26.177 include:listserv.heanet.ie include:spf-eu.exlibrisgroup.com ip4:46.249.61.0/24 ip4:212.54.130.143 ip4:193.120.143.165 ip4:193.120.142.176 ip4:193.120.252.86 include:servers.mcsv.net ip4:149.72.228.91 include:_spf.distribution.vueliopm.com ~all,~all,3,5,False,found,v=DMARC1;p=reject;rua=mailto:DMARC@universityofgalway.ie;,reject,4,reject,100,True,False,r,r
University of Limerick,ul.ie,Education,found,v=spf1 ip4:139.60.152.0/22 include:spf.protection.outlook.com include:spf.topdesk.net ip4:195.154.27.41 ip4:149.202.76.209 ip4:193.120.142.176 ip4:193.120.143.134 ip4:193.120.143.138 ip4:193.1.100.0/21 include:spf1.ul.ie -all,-all,4,3,False,found,v=DMARC1; p=quarantine; rua=mailto:dmarc_reporting@ul.ie;,quarantine,3,quarantine,100,True,False,r,r
Health Service Executive,hse.ie,Health,timeout,,,,,,found,v=DMARC1;p=reject;sp=reject;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1,reject,4,reject,100,True,True,r,r
An Garda Síochána,garda.ie,Law Enforcement,found,v=spf1 mx ip4:137.191.224.102 ip4:137.191.224.122 ip4:137.191.224.89 ip4:137.191.225.35 ip4:137.191.225.37 ip4:169.254.231.133 ip4:169.254.39.133 ip4:193.178.100.71 ip4:193.178.100.70 ip4:172.29.231.131 ip4:172.29.39.140 ip4:10.4.89.254 ip4:10.2.89.240 ip4:10.2.89.254 ip4:203.46.91.129 ip4:192.168.250.10 ip4:62.62.42.14 ip4:62.62.42.37 include:spf.protection.outlook.com -all,-all,4,2,False,found,v=DMARC1; p=none; rua=mailto:dmarc-reports@garda.ie,none,2,none,100,True,False,r,r
An Post,anpost.com,State-Owned Enterprise,found,v=spf1 include:spf.protection.outlook.com include:spf.emailingemfasis.es include: _spf.servicenow.com ip4:52.155.248.80 ip4:52.158.43.182 ip4:167.89.86.131 -all,-all,4,3,False,found,v=DMARC1; p=none; pct=100; ri=86400; rua=mailto:DMARCreport@anpost.ie; adkim=r; aspf=r; sp=none;,none,2,none,100,True,False,r,r
Electricity Supply Board,esb.ie,Energy,timeout,,,,,,found,"v=DMARC1; p=none; pct=100; fo=1; ri=3600; rua=mailto:a4714750@inbox.ondmarc.com,mailto:dmarcnotifications@esb.ie; ruf=mailto:a4714750@inbox.ondmarc.com,mailto:dmarcnotifications@esb.ie;",none,2,none,100,True,True,r,r
EirGrid,eirgrid.ie,Energy,found,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com -all,-all,4,1,False,found,v=DMARC1; p=quarantine; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com;,quarantine,3,quarantine,100,True,True,r,r
Central Bank of Ireland,centralbank.ie,Financial Regulation,found,v=spf1 mx ip4:217.182.232.170/32 ~all,~all,3,1,False,found,v=DMARC1; p=quarantine; fo=1; rua=mailto:dmarc@centralbank.ie; ruf=mailto:dmarc@centralbank.ie; adkim=r,quarantine,3,quarantine,100,True,True,r,r
Health Information and Quality Authority,hiqa.ie,Health,found,v=spf1 ip4:137.191.231.66 ip4:137.191.231.76 ip4:137.191.231.74 ip4:137.191.231.77 ip4:137.191.231.70 ip4:137.191.231.78 ip4:148.139.0.2 ip4:148.139.1.2 include:spf.topsec.com include:_spf.createsend.com include:spf.protection.outlook.com include:em7256.hiqa.ie -all,-all,4,4,False,found,v=DMARC1;p=reject;sp=reject;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1,reject,4,reject,100,True,True,r,r
Mater Misericordiae University Hospital,mater.ie,Health,found,v=spf1 ip4:84.203.136.171 include:spf.protection.outlook.com -all,-all,4,1,False,found,v=DMARC1;p=none;sp=none;pct=100;rua=mailto:infosec@mater.ie;ri=86400;aspf=r;adkim=r,none,2,none,100,True,False,r,r
St. James's Hospital,stjames.ie,Health,found,v=spf1 mx include:spf.tmes.trendmicro.com ~all,~all,3,2,False,found,v=DMARC1; p=none;,none,2,none,100,False,False,r,r
Beaumont Hospital,beaumont.ie,Health,found,v=spf1 mx ip4:137.191.246.12 include:spf.tmes.trendmicro.com ?all,?all,2,2,False,found,v=DMARC1; p=none;,none,2,none,100,False,False,r,r
Commission for Communications Regulation,comreg.ie,Regulation,found,v=spf1 include:spf.protection.outlook.com include:autotask.net include:mail.comreg.ie -all,-all,4,3,False,found,v=DMARC1; p=none; rua=mailto:IT.Suggestions@comreg.ie; ruf=mailto:IT.Suggestions@comreg.ie;,none,2,none,100,True,True,r,r
National Standards Authority of Ireland,nsai.ie,Standards/Regulation,found,v=spf1 ip4:137.191.233.72 ip4:74.112.70.47 a:gw000140-eu.fortimail.com a:www.nsainep.ie include:spf.protection.outlook.com -all,-all,4,3,False,found,v=DMARC1; p=none; rua=mailto:sys.admin@nsai.ie; ruf=mailto:sys.admin@nsai.ie;,none,2,none,100,True,True,r,r
Office of Emergency Planning,oep.gov.ie,Emergency Planning,found,v=spf1 -all,-all,4,0,False,not_published,,,,,,,,,
