organization_name,domain,sector,spf_status,spf_record,spf_qualifier,spf_qualifier_score,spf_lookup_count,spf_lookup_exceeds_limit,dmarc_status,dmarc_record,dmarc_policy,dmarc_policy_score,dmarc_subdomain_policy,dmarc_pct,dmarc_reporting_configured,dmarc_forensic_reporting_configured,dmarc_alignment_spf,dmarc_alignment_dkim,dkim_status,dkim_selector,dkim_record,dkim_key_type,dkim_key_bits,dkim_key_length_score,dkim_revoked,dkim_testing_mode
Galway County Council,galwaycoco.ie,Local Government,found,v=spf1 ip4:137.191.229.55 ip4:137.191.229.73 ip4:137.191.229.75 include:spf.protection.outlook.com include:_spf.psm.knowbe4.com include:amazonses.com include:spf.eu1.defend.egress.com -all,-all,4,4,FALSE,found,v=DMARC1; p=quarantine; pct=100; adkim=r; aspf=r,quarantine,3,quarantine,100,FALSE,FALSE,r,r,found,selector1,"v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCh79UhZfIJ8VGOAEUvi586pW83m25Qae8yJ2pEZifKonymaXVVjCHiRTvtXIcWZig0AIemKlUjiVTqzRlQ0wUWIy8jMPSyqQxCA2w6qGX+h0N3f7uZ9uVNQNlkIBw6z0zrYwV6hCCJyVYezIMwCLxq5rnWHgRwcOIRVZnc3f5FDQIDAQAB; n=1024,1450838917,1466650117",rsa,1024,2,FALSE,FALSE
Kerry County Council,kerrycoco.ie,Local Government,found,v=spf1 mx include:spf.protection.outlook.com a:mailgate.kerrycoco.ie include:authsmtp.com include:_spf.elasticemail.com include:amazonses.com -all,-all,4,7,FALSE,found,v=DMARC1; p=reject; rua=mailto:gerry.jeewoonarain@kerrycoco.ie,reject,4,reject,100,TRUE,FALSE,r,r,found,selector1,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCq3UOB0HG1vZY3PL0oVeJQgLM8d4vn48078dDBbv0TCZtkSMhapXugg3rkCqtI5b03VnkMNK7JYaWG9OsA4egQGEreDGXQmAAFyjHCxGQrCc4Zn7bj9kxH07XsE26aVz0SniGMy9aYgtZ4qhgR0TaMmTGeSEAgEyuzmfHIqdGjfQIDAQAB;,rsa,1024,2,FALSE,FALSE
Kildare County Council,kildarecoco.ie,Local Government,found,v=spf1 include:spf.protection.outlook.com include:spf.topsec.com ip4:213.143.154.166 -all,-all,4,2,FALSE,found,v=DMARC1;p=reject;sp=reject;adkim=s;aspf=s;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1,reject,4,reject,100,TRUE,TRUE,s,s,found,k2,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAv2aC2KjGKLOwTweBY5A9RpjsxaBXR9r7OAU6U8/zn92ivImI75naUujWbItRI/QmL1jy5PWGqLwoUA0b90ObWaLDc+i9MtTNmGeWO009hr20fIxhGg6XBT2kjZ1DTThopSe1nAndsupmcBwlQ5Q6LJ+ZAxLcujnPIxM0ZBLmgpkv8u6RfY4eFP8OLvdAW3oSuB0DyLDigQX4Sj8wBO4YIdQH6AAmBeOsidsKAFNFUCpc3vCxtBDR12U+cBg724l3sBkMQ8evnz6idnqxq9QAVYh8k4kJ+RP+6cqTdy7LjIm8xY/bQNpQIpGUAuDo2DjLcCDun9DAI4Q/3z+Q0o9QuQIDAQAB;,rsa,2048,3,FALSE,FALSE
Kilkenny County Council,kilkennycoco.ie,Local Government,found,v=spf1 a mx include:spf.protection.outlook.com include:spf.topsec.com ip4:137.191.231.114 ip4:78.153.223.162 -all,-all,4,4,FALSE,found,v=DMARC1;p=reject;sp=reject;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1,reject,4,reject,100,TRUE,TRUE,r,r,found,selector1,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDK8TTZ7G652uAY1sdzRbOkY220QC5otvTs/CMmakm6OrovMq3QYOmg6LSQyG44DAzrUsol9aD7js13Ryg8BbtCCZBoJBzztMxONuL02xfWItCQNAbR5cOJWb6ktU3yvgcK37dGHKnCbYCptXgjc/fK3x8wbHo/Q6acJKrzd+PaVQIDAQAB;,rsa,1024,2,FALSE,FALSE
Laois County Council,laoiscoco.ie,Local Government,found,v=spf1 mx ip4:137.191.228.66 ip4:213.143.154.166 include:spf.protection.outlook.com include:spf.newsletter.ie a:dispatch-eu.ppe-hosted.com -all,-all,4,7,FALSE,found,v=DMARC1;p=reject;rua=mailto:forensic@laoiscoco.ie;ruf=mailto:forensic@laoiscoco.ie;fo=1,reject,4,reject,100,TRUE,TRUE,r,r,found,dkim,v=DKIM1; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC+y7n+lBsfp3+7pVffifpk1C3cqRwAjH153QBcHdyPBlApKGD/5PPS9zzbUO5w3sKiiBLq4oJZXBACyPiQcaff5uDg6Mvo/n2JPW+nf/to8e0VJ+ztAqWt/IQKOFlB1JOwWks+wkN2HoPtM4T8Cqbg5ejhxCwmRpl1FFV3Biw/IwIDAQAB;,rsa,1024,2,FALSE,FALSE
Leitrim County Council,leitrimcoco.ie,Local Government,found,v=spf1 a include:_spf.firmstep.com include:spf.protection.outlook.com include:spf.topsec.com ip4:172.30.0.150 ip4:34.253.61.97 ip4:172.30.0.25 ip4:213.143.154.166 -all,-all,4,4,FALSE,found,v=DMARC1;p=reject;sp=reject;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1,reject,4,reject,100,TRUE,TRUE,r,r,found,selector1,"v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCr9pfluXkWrNp+1mdtcIDIJkaV0tBqazZIZ9U6l7hAAfqr4gKVvvlmjRRq6nLvjvfbU4xX57PbFmt3S4GJBa3ngeDoNQp1tBBrPd4e1/WIzhm7HwlA00lZP9EAFQ/smdYm6L32gu10ZtG173FovFWiIE616PbEMez28h3CvrxpjwIDAQAB; n=1024,1499122261,1515019861",rsa,1024,2,FALSE,FALSE
Limerick City and County Council,limerick.ie,Local Government,found,v=spf1 ip4:34.253.61.97 ip4:137.191.230.252 include:amazonses.com ip4:213.143.154.166 include:_spf.salesforce.com include:spf.protection.outlook.com include:sendgrid.net ip4:10.50.200.100 -all,-all,4,6,FALSE,found,v=DMARC1; p=reject; rua=mailto:itsupport@limerick.ie; ruf=mailto:itsupport@limerick.ie; fo=1,reject,4,reject,100,TRUE,TRUE,r,r,found,selector1,"v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCmO56cwcvF5PivuSfqb0oJiDGJE1NTVpEXITdfMw0wsybGrvEPzlMPpnM3K10elNDeat9x8gclXFiK0ThuOHeLQvzVxvPRbhUbU+QDd869BKG8AWCLSweBrbZN6F9/vmQ7XS7ks93qtc9NmrEottiPV5Kj3dX7P62nXQRNz4gqaQIDAQAB; n=1024,1503776774,1519674374",rsa,1024,2,FALSE,FALSE
Longford County Council,longfordcoco.ie,Local Government,found,v=spf1 include:spf.topsec.com include:spf.protection.outlook.com ip4:137.191.227.114 ip4:213.143.154.166 include:amazonses.com -all,-all,4,3,FALSE,found,v=DMARC1;p=reject;sp=reject;fo=1,reject,4,reject,100,FALSE,FALSE,r,r,found,selector1,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC8bcH6yj1Ztr2UqyHQlMoHt/J1Oixr/3hUn1kuta3Ie0crVABTa5J+KTYsPAI/cYEdjTJXESKMNFI/AzzmN23toYSIm4B/BoEqdWK4I+uK3TqALVCp2WRC0jLDpkuAowKHXK5N0B4PASSiTXSzP9+TAn4CrVYt5J3HVX0GvidunQIDAQAB;,rsa,1024,2,FALSE,FALSE
Louth County Council,louthcoco.ie,Local Government,found,v=spf1 a mx include:spf.topsec.com include:spf.protection.outlook.com a:mail.tascomi.com mx:tascomi.com a:oakdc-smtp-01.iii.com ip4:69.172.201.153 ip4:34.253.61.97 ip4:213.143.154.166 -all,-all,4,7,FALSE,found,v=DMARC1;p=reject;sp=reject;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1,reject,4,reject,100,TRUE,TRUE,r,r,found,selector1,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQD3NM+HrcuaKHCe52mfs/GidwQl8wL+5wCIINMXmK+mBBvF4FNWJAnHnHtRvoXNOtRoLrxg1wnTbomsG/6lqgdL5iJYucbsuV7ByA0GLKIvXrtD6h/uP5SDqikIYj5P6Ig6GYRwbHvebN3EwYuq+JZtGfoTfSaPL7vw9Ox1GjouHwIDAQAB;,rsa,1024,2,FALSE,FALSE
Mayo County Council,mayococo.ie,Local Government,found,v=spf1 include:spf.protection.outlook.com include:spf.topsec.com a ip4:137.191.225.163 ip4:34.253.61.97 ip4:89.185.145.185  ip4:213.143.154.166 ip4:137.191.225.162  a:mail.mindaclient.com include:nw008.com -all,-all,4,5,FALSE,found,v=DMARC1;p=reject;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1;,reject,4,reject,100,TRUE,TRUE,r,r,found,selector1,"v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCajh+0A0ochkYaUVVM22VCDL4k1YKgpG1+JFhhgUsociXN4JxXtqE44rEapB2kwP74ve6HCLxRSYe1Ul6d5Xwk1KuOshCbRONQeMXi2nR3LP+JooCSObcQ3f37rgyy2VFfTRy7daE0qgxOhz6EFWjIpppFCMB98ZjcaGV4YyroKwIDAQAB; n=1024,1483254324,1498892724",rsa,1024,2,FALSE,FALSE
Meath County Council,meathcoco.ie,Local Government,found,v=spf1 include:_u.meathcoco.ie._spf.smart.ondmarc.com include:eu._netblocks.mimecast.com ~all,~all,3,8,FALSE,found,v=DMARC1; p=reject; pct=100; sp=reject; rua=mailto:e288ef16@inbox.ondmarc.com; ruf=mailto:e288ef16@inbox.ondmarc.com; adkim=r; aspf=r; fo=0; rf=afrf; ri=3600,reject,4,reject,100,TRUE,TRUE,r,r,found,selector1,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCgvPPrRZX3XWvYwdNPt4ZEh4c3lRNflKi0EaeBHbnKPIH5xJVoVsY4PzUVSJXXKjmz8uIlvtUQ8QTKBfsd5dZQLJx9BldjXHATClmKPZZdAIAqjv8m0DJ2sc+EE42iGuqy8FdRcTmT+UdZFkheF3kU9RWHlUd1ujqKKJ4NNMANhwIDAQAB;,rsa,1024,2,FALSE,FALSE
Monaghan County Council,monaghancoco.ie,Local Government,found,v=spf1 mx a:lgma.iii.com include:spf.protection.outlook.com include:spf.topsec.com ip4:34.253.61.97 ip4:137.191.243.34 ip4:137.191.243.37 ip4:137.191.243.39 ip4:137.191.243.44 ip4:54.240.11.149 IP4:46.51.176.10 ip4:213.143.154.166 -all,-all,4,4,FALSE,found,"v=DMARC1;p=reject;rua=mailto:621dc3d1@inbox.ondmarc.com,mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:621dc3d1@inbox.ondmarc.com,mailto:211a5a2e44@ruf.easydmarc.eu;ri=3600;fo=1;",reject,4,reject,100,TRUE,TRUE,r,r,found,k2,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAv2aC2KjGKLOwTweBY5A9RpjsxaBXR9r7OAU6U8/zn92ivImI75naUujWbItRI/QmL1jy5PWGqLwoUA0b90ObWaLDc+i9MtTNmGeWO009hr20fIxhGg6XBT2kjZ1DTThopSe1nAndsupmcBwlQ5Q6LJ+ZAxLcujnPIxM0ZBLmgpkv8u6RfY4eFP8OLvdAW3oSuB0DyLDigQX4Sj8wBO4YIdQH6AAmBeOsidsKAFNFUCpc3vCxtBDR12U+cBg724l3sBkMQ8evnz6idnqxq9QAVYh8k4kJ+RP+6cqTdy7LjIm8xY/bQNpQIpGUAuDo2DjLcCDun9DAI4Q/3z+Q0o9QuQIDAQAB;,rsa,2048,3,FALSE,FALSE
Offaly County Council,offalycoco.ie,Local Government,found,v=spf1 mx ip4:91.210.233.36 ip4:137.191.228.189 ip4:34.253.61.97 ip4:137.191.228.183 ip4:213.143.154.166 include:spf.topsec.com include:_spf.salesforce.com include:spf.protection.outlook.com include:servers.mcsv.net include:spf.mailjet.com  -all,-all,4,7,FALSE,found,v=DMARC1;p=reject;sp=reject;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1;adkim=s;aspf=s;,reject,4,reject,100,TRUE,TRUE,s,s,found,selector1,"v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCOZ5DZnRYTuUvTq9ptNareM84ciWZXxiF4uEuoM+YETmcUhboqL3zc8rEh4BaPwaAaSnA/rk+n5yWr1ti4FzqCWMmeTZVEDA5YcCMWRpbwhOF/23hFrOERsPzzPKTLgBMBK3e1yZBY9MwijVy4ju8ldkja1+fLZ1dmeKtZGwkCcQIDAQAB; n=1024,1484835820,1500474220",rsa,1024,2,FALSE,FALSE
Roscommon County Council,roscommoncoco.ie,Local Government,found,v=spf1 ip4:213.143.154.166 ip4:137.191.236.194 include:spf.protection.outlook.com include:spf.topsec.com a:lgma.iii.com include:_spf.firmstep.com include:civica.com -all,-all,4,5,FALSE,found,v=DMARC1;p=reject;sp=reject;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1,reject,4,reject,100,TRUE,TRUE,r,r,found,selector1,"v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDZebVqwNEm3XgT6Oew3YCi7G2GyoG63YgUnaqxtKp9aenoKksCNUkMM5Vfb7OEXMDtQtmo3qqAnW7139xNc4MmniNocblyDyvjb9hqJApUUA4DZGOp0prRVsWjQ373TLFukaSb8rApVWl8T5LGqBvAbn7w8v5/1tjloW4s4fExrwIDAQAB; n=1024,1495249440,1511147040",rsa,1024,2,FALSE,FALSE
Sligo County Council,sligococo.ie,Local Government,found,v=spf1 ip4:213.143.154.166 include:spf.topsec.com include:spf.protection.outlook.com -all,-all,4,2,FALSE,found,v=DMARC1;p=reject;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1,reject,4,reject,100,TRUE,TRUE,r,r,found,selector1,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDHh95EuPm2pj8Nj/tlOuJKI4KQ6ApdPIUjLBy/QS+8W7rE7YqDAV/T35vUKwOA8kJrTX06uKYeIycXuB5a8vOyGSYHjl14fh5QRRuAoGlHDjIzHMrs4K6JjJzFyVOR1AbFNS4YLcLhUCZIhAAi96KW3QzZB5eUyycDMqC8YEW1swIDAQAB;,rsa,1024,2,FALSE,FALSE
South Dublin County Council,sdublincoco.ie,Local Government,found,v=spf1 mx include:spf.protection.outlook.com include:_spf.psm.knowbe4.com include:_spf.4me.com include:_spf.4me.qa ip4:137.191.230.202 include:spf1.formassembly.com -all,-all,4,7,FALSE,found,v=DMARC1;p=reject;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1,reject,4,reject,100,TRUE,TRUE,r,r,found,selector2,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDCrwQ+WNEANCaV6XkOVM5ZhqKq5pL47iHfrAF/bJtRR8Zu8OfPgq0i/NnjHmLz99OMotqwTkhygqRjAWbqq7MiZWj7pUNZQpIE+iPWZVmUZG1m8DGbkUXY6P6hNTbXN7nSwPwOwdIhBNG88WD6sK/pkYHB3Rab+4bImnf+JfxZCQIDAQAB;,rsa,1024,2,FALSE,FALSE
Tipperary County Council,tipperarycoco.ie,Local Government,found,v=spf1 include:spf.topsec.com include:spf.protection.outlook.com ip4:78.153.200.140 ip4:213.143.154.166 ip4:54.229.2.165 ip4:52.30.130.201 ip4:52.17.45.98 ip4:52.16.190.81 ip4:137.191.247.101 -all,-all,4,2,FALSE,found,"v=DMARC1;p=reject;sp=reject;pct=100;rua=mailto:211a5a2e44@rua.easydmarc.eu,mailto:2795c7ae0ab540229f91e340c14bb0aa@dmarc-reports.cloudflare.net;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;ri=86400;fo=1",reject,4,reject,100,TRUE,TRUE,r,r,found,selector1,"v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCqYJCl54wggfzaunSkyyMC9qNNXh6wBZlT5R9kV61oJ+Lrpzx08v016vkoH5QkibzS49vKWwugQJP2jDgAynsMSL5BNNnV8K2BIVNvdsj/VD552C0PMXieDrZjh+rI0CS0KjLBoZmDZiRPuQh86mgRxmEatkJ568IpCF9baYSnuwIDAQAB; n=1024,1450289371,1466100571",rsa,1024,2,FALSE,FALSE
Waterford City and County Council,waterfordcouncil.ie,Local Government,found,v=spf1 include:spf.anu.net ip4:34.253.61.97 ip4:213.143.154.166 include:spf.topsec.com include:spf.protection.outlook.com  ~all,~all,3,3,FALSE,found,v=DMARC1;p=none;sp=none;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1;,none,2,none,100,TRUE,TRUE,r,r,found,mail,k=rsa;p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDeMVIzrCa3T14JsNY0IRv5/2V1/v2itlviLQBwXsa7shBD6TrBkswsFUToPyMRWC9tbR/5ey0nRBH0ZVxp+lsmTxid2Y2z+FApQ6ra2VsXfbJP3HE6wAO0YTVEJt1TmeczhEd2Jiz/fcabIISgXEdSpTYJhb0ct0VJRxcg4c8c7wIDAQAB,rsa,1024,2,FALSE,FALSE
Westmeath County Council,westmeathcoco.ie,Local Government,found,v=spf1 a:dispatch-eu.ppe-hosted.com ip4:213.143.154.166/32 include:spf.protection.outlook.com ip4:137.191.235.130  ~all,~all,3,2,FALSE,found,v=DMARC1;p=reject;sp=reject;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1,reject,4,reject,100,TRUE,TRUE,r,r,found,selector1,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCR5hiue/ST2btSIVswTeW/zVWonDr3lI+1lJP/Mb89PjThx7SRj84QmNKSDZigj8pdAdT05Pz+6If0wqs5B7C9pdj3kcgKthYVGYMUHNLg/YDSJ0190NoBdgA3olfQU1Bf2hoe16I71+67bUHliKtP2TBVS/sXfgl/u6iwLQ0BlQIDAQAB;,rsa,1024,2,FALSE,FALSE
Wexford County Council,wexfordcoco.ie,Local Government,found,v=spf1 exists:%{i}.spf.hc1696-6.eu.iphmx.com include:spf.protection.outlook.com include:spf.blacknight.com include:_spf.firmstep.com a:extdms.wexfordcoco.ie -all,-all,4,9,FALSE,found,"v=DMARC1;p=quarantine;sp=none;adkim=s;rua=mailto:itsecurity@wexfordcoco.ie,mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:itsecurity@wexfordcoco.ie,mailto:211a5a2e44@ruf.easydmarc.eu;ri=14400;fo=1",quarantine,3,none,100,TRUE,TRUE,r,s,found,selector1,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQD5gnIGXsZ23LbgKUR0ZDqd1kLtc32xBoiDFvRbz+Fd5eQ32MokR8czvQRDvSOGwbxzBNIf4vhwz8ahbH3J3+lrh4j/otOE0lg9VgsMzy3CKewbFGhbY015uP8qVCV9OhpMnVi3yxm3/f+9+qAaQBAdr5bY8Vh07V2+Cvuhht657wIDAQAB;,rsa,1024,2,FALSE,FALSE
Wicklow County Council,wicklowcoco.ie,Local Government,found,v=spf1 include:sendersrv.com include:_spf-eu.ppe-hosted.com include:_spf.mlsend.com mx include:spf.topsec.com include:spf.protection.outlook.com ip4:34.253.61.97 ip4:213.143.154.166 ip4:212.46.144.129 ip4:137.191.246.185 ip4:137.191.246.187 ip4:137.191.246.178 -all,-all,4,8,FALSE,found,v=DMARC1;p=reject;rua=mailto:dmarc@paradyn.ie;ruf=mailto:dmarc@paradyn.ie;fo=1;,reject,4,reject,100,TRUE,TRUE,r,r,found,selector1,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC4l3QY781Z1iHlBCwpXF8keOWkSawI+k4t/INBP9FfQDK0kKsScY4BZxyY/myfytZiPXT/LqPYuRSOUDPF2gaKSURv0pAj20qpNgMuNNz5PMrWFovYMvWv/GkKOL/S3Y8tU7dH9K43mB4MRHE8r/A1UBktmKa7kzTzCZYT/Ni0pwIDAQAB;,rsa,1024,2,FALSE,FALSE
Atlantic Technological University,atu.ie,Education,found,v=spf1 include:spf.protection.outlook.com include:sendgrid.net include:spf1.atu.ie include:amazonses.com ip4:34.241.149.181 ip4:34.240.68.23 ip4:193.1.112.103 ip4:192.254.120.51 ip4:168.245.104.162 ip4:89.167.234.245 ip4:89.167.234.247 ip4:54.75.159.239 ip4:89.185.148.18 ip4:212.54.130.143 -all,-all,4,10,FALSE,found,v=DMARC1; p=reject; sp=reject; ruf=mailto:dmarc@atu.ie; rua=mailto:dmarc@atu.ie,reject,4,reject,100,TRUE,TRUE,r,r,found,selector1,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA2aYoig//QdkvJVhOmTEjbueYtwyiFx8zR47E1WoY/WOrDEatrA+QUQ2rNunhDjjsyTux54W4fU+hlMnr7dNcqWyiTNaoP/qDd4cJl1KprjUDrCJzyFqUkF6X8WGxOox5hH3FrsoHrMfp32RiUndGlkp6RVXDx+7V5DslYYpV3oICs5c5Ijq+0G1W3J1xJm9bPBn2fbNXOOvFNJTRfMdBUKULU/Sfax6muOrVwulygj4gm9nJ2MmwVTvw8YBu7pXt1HXrBYP9M5XcI1j5aptyH4DMbSYpd/kckVLLPROvceVNitnd+O0e7lxJU+abH7vFQspmcMTO6m4E7OiVlTEDkQIDAQAB;,rsa,2048,3,FALSE,FALSE
Dublin City University,dcu.ie,Education,found,v=spf1 include:_spf.google.com ip4:136.206.1.100 ip4:198.187.196.100 ip4:193.120.143.134 include:spf-eu.exlibrisgroup.com include:spf.protection.outlook.com include:mail.zendesk.com ~all,~all,3,4,FALSE,found,"v=DMARC1; p=reject; rua=mailto:dmarc@dcu.ie, mailto:xp52vxju@ag.eu.dmarcian.com",reject,4,reject,100,TRUE,FALSE,r,r,found,google,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAnVE0N70X0zHIbvTITC6ifALKoGdGhi/RbaZ0VqfkNrlRl9ocD+jAmjzi6bQAsSFJPN5Bom+S7nlkQ0Psy+Ts6Bygx5DP1/pWP4+lGGyO1lXxHVvzcUrpaeUYq/PYkHHFmSamwav9y6Zg0iKgORrKXSNenfYufbTW6E+Ns3hGRML/J6layjpQdDzR6NqdhaupZtW+tvClbePactw2cwB7t0IurCoxSR95Ip12mM/7/f5mMQBzWSe6lnrCiPlx47uG3w4OgOXtpRYAWu250ZBVrGMiSlj5o7P6bgXk0R4Q0+YIgwOEp2flwB1JhBNUy4bpDXaScYHiDWZyTukB/sl8awIDAQAB,rsa,2048,3,FALSE,FALSE
"Dun Laoghaire Institute of Art, Design and Technology",iadt.ie,Education,found,v=spf1 ip4:193.1.75.1/24 ip4:52.31.50.10 include:servers.mcsv.net a:sendgrid.unit4cloud.com ip4:168.245.121.45 include:spf.protection.outlook.com include:wpm.flywire.com include:eu._netblocks.mimecast.com include:25383427.spf10.hubspotemail.net ip4:193.1.74.201 include:_spf.bbnotify.net include:mh.blackboard.com -all,-all,4,10,FALSE,found,v=DMARC1;p=quarantine;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1,quarantine,3,quarantine,100,TRUE,TRUE,r,r,found,selector1,"v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDiecat3+rOaEkAliTjSX7k3+gqJbfVkpVjPaqmv0NPgTjIdfbZKWQFJtwfbsxFu9bNCjj5xRMwpfUBPRgDqTVxTisYYwW4ZuiUoti+E5NpANFX2uenEhZr24Wqoh0rPdDkirVjdyJ3giZPCees06HWZGyx/eEoBSGYXz5j4IwsLQIDAQAB; n=1024,1450855202,1466666402",rsa,1024,2,FALSE,FALSE
Dundalk Institute of Technology,dkit.ie,Education,found,v=spf1 include:spf.protection.outlook.com include:amazonses.com include:eu.transmail.net include:_tuf-spf.touchnet.com include:em6920.dkit.ie include:sendgrid.net include:spf1.dkit.ie -all,-all,4,9,FALSE,found,v=DMARC1; p=quarantine; rua=mailto:postmaster@dkit.ie,quarantine,3,quarantine,100,TRUE,FALSE,r,r,found,selector1,"v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDf75zn2uKqYdJ5mLl4XToH3KATNl1tfkbX6Cz4XpevLs4hF++XoGJBZRryMHb3rHJ/xRoWGVNUK5Env9FX3I3Dxxx0vhBCOj0LKEYf7k2hqZZ9BmEhpKDxpeSOu7V0PCXDYNdqCY7ZEOWSP0WMkJWfPoyKTXbjw1qHN9BUvL5XFQIDAQAB; n=1024,1450808855,1466620055",rsa,1024,2,FALSE,FALSE
Mary Immaculate College,mic.ul.ie,Education,found,v=spf1 ip4:193.1.98.40 include:spf.protection.outlook.com include:eu.zcsend.net ip4:193.1.102.160 ip4:193.1.102.174 ip4:193.1.101.155  ip4:193.1.101.156 -all,-all,4,2,FALSE,found,v=DMARC1; p=reject ;pct=100 ; rua=mailto:ictalerts@mic.ul.ie,reject,4,reject,100,TRUE,FALSE,r,r,found,selector1,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAyLbvNamle84jmqrZ7JRfaFskpFQXF2An57XKFp8Xm7rYugnopMxpOMq4u8QudNJ0rrrsxtKtV3LireIom0KKH0VYqj6cIr3f0nBVbm+kO418f2NegjZTJysqw5PPrbnvFdYrDCuk3Tusqvj2jWjQqqqMsLZabLBdf3xJLa+oNP6CzdO5c6E5BkZzrV5vbvbEoX3Wbge0IfyHBNEMocSJdE4WBiIBO8SRW4TUrZDWW1aXmR02+yJQQWfoPCJeTGE7QxzWMteZd4H6kOJfdboVtQ55bkKcIEFhdU6fDI9ao8qRjosLlVncVY7Kk1PkcfYKN/rWmaQHd0uKYslTLc9+xQIDAQAB;,rsa,2048,3,FALSE,FALSE
